STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-415.60430908203125,11.763833999633789,142.36688232421875,15,-1
1,*,-430.11346435546875,3.5104820728302,266.0428466796875,15,-1
2,*,-362.1786193847656,9.675336837768555,194.51553344726562,15,-1
3,*,-264.53582763671875,12.061492919921875,240.33682250976562,15,-1
4,*,-82.1952896118164,23.41114616394043,203.5047607421875,15,-1
5,*,35.52211380004883,21.714027404785156,81.56372833251953,15,-1
6,*,108.30518341064453,22.00320816040039,60.10575485229492,15,-1
7,*,94.4728012084961,29.162338256835938,6.096325874328613,15,-1
8,*,177.34629821777344,30.289220809936523,-149.7149200439453,15,-1
9,*,130.69784545898438,25.1331844329834,-272.4908142089844,15,-1
10,*,158.06005859375,30.919288635253906,-97.35413360595703,15,-1
11,*,35.2191047668457,28.981855392456055,53.10627365112305,15,-1
12,*,-72.2078857421875,17.8824520111084,100.87786102294922,15,-1
13,*,-151.82669067382812,16.84124183654785,97.85832977294922,15,-1
14,*,-282.4710693359375,10.057595252990723,127.75088500976562,15,-1
15,end,-352.7145080566406,4.103496074676514,58.421443939208984,15,-1
-1,reset,-297.7978210449219,10.362302780151367,56.64897155761719,5,-1
