STEP,STEPNAME,X,Y,Z
0,start,-487.714935302734,207.59619140625,536.926452636719
1,*,-316.442962646484,197.515029907227,633.901000976563
2,*,-199.754608154297,198.181625366211,617.657043457031
3,*,-198.738739013672,198.130035400391,511.598052978516
4,*,-364.349639892578,120.121604919434,361.435791015625
5,*,-405.700134277344,120.121543884277,321.799468994141
6,*,-471.6982421875,120.119659423828,236.170318603516
7,*,-528.352844238281,129.128845214844,117.974174499512
8,*,-533.310913085938,152.871078491211,37.7927093505859
9,*,-534.549072265625,152.866073608398,-37.9450531005859
10,*,-528.35986328125,129.347854614258,-114.881881713867
11,*,-509.156829833984,120.159126281738,-205.460662841797
12,*,-462.062652587891,120.116790771484,-268.362274169922
13,*,-385.193023681641,120.34716796875,-371.646240234375
14,*,-288.033874511719,120.14111328125,-382.026184082031
15,*,-10.4376945495605,2.62128353118896,-415.542572021484
16,*,-8.4857702255249,2.58660411834717,-480.252258300781
17,*,1.96267628669739,2.7982714176178,-524.83154296875
18,*,55.6976699829102,2.77290391921997,-643.007080078125
19,*,98.8829345703125,2.73471713066101,-642.35986328125
20,*,114.581703186035,2.78066635131836,-604.232666015625
21,*,113.792488098145,2.89174699783325,-540.706848144531
22,*,117.274955749512,2.92615747451782,-486.578063964844
23,*,152.255020141602,2.61273741722107,-455.968811035156
24,*,206.460220336914,2.62315440177917,-417.342681884766
25,*,275.283477783203,2.62299847602844,-376.198791503906
26,*,317.613525390625,2.62299823760986,-382.314727783203
27,*,333.735260009766,2.62300062179565,-442.649322509766
28,*,364.225494384766,2.62623381614685,-455.065551757813
29,*,514.493957519531,2.58657550811768,-456.499603271484
30,*,561.571899414063,2.62299680709839,-386.933013916016
31,*,584.572204589844,2.58661007881165,-325.805999755859
32,*,597.729248046875,2.49805951118469,-214.419845581055
33,*,594.311584472656,2.58180975914001,-94.872444152832
34,*,578.855651855469,2.63483619689941,-56.1790924072266
35,*,545.746215820313,2.61479568481445,25.3505744934082
36,*,546.946838378906,2.56974291801453,61.075496673584
37,*,559.417358398438,2.76685619354248,115.864273071289
38,*,638.435791015625,2.72413730621338,81.0243377685547
39,*,647.116088867188,2.61823797225952,33.706356048584
40,*,669.662048339844,2.58498167991638,-36.3177833557129
41,*,669.786682128906,2.59935235977173,-98.6128311157227
42,*,648.376647949219,2.55531620979309,-164.781600952148
43,*,612.426574707031,2.62397384643555,-166.506469726563
44,*,598.164428710938,2.50072479248047,-210.552108764648
45,*,576.147338867188,2.51095414161682,-251.511428833008
46,*,463.990081787109,2.586580991745,-252.955261230469
47,*,420.185852050781,2.62050890922546,-273.565185546875
48,*,419.196411132813,2.58661866188049,-337.978759765625
49,*,426.3203125,2.62515997886658,-440.648468017578
50,*,514.977233886719,2.5865843296051,-456.3173828125
51,*,563.326354980469,2.62300539016724,-478.66748046875
52,*,570.9296875,3.51611614227295,-530.525390625
53,*,576.09375,2.68297672271729,-583.6865234375
54,*,544.448669433594,2.20344138145447,-624.913452148438
55,*,471.243865966797,2.96824049949646,-619.087585449219
56,*,424.495788574219,3.08528685569763,-620.095397949219
57,*,362.568237304687,2.64821481704712,-616.558715820313
58,*,259.110137939453,2.62300109863281,-510.825500488281
59,*,237.460845947266,2.58658647537231,-439.305389404297
60,*,240.796600341797,2.58657956123352,-345.040313720703
61,*,271.436737060547,2.47499370574951,-270.944946289063
62,*,275.043701171875,2.47499227523804,-205.896591186523
63,*,272.546783447266,2.47497034072876,-121.176490783691
64,*,303.153869628906,2.60712337493896,-66.676887512207
65,*,303.72021484375,2.48613286018372,-10.4506673812866
66,*,303.658203125,2.51571941375732,23.0251274108887
67,*,303.629486083984,2.45360326766968,81.3262710571289
68,*,282.103118896484,2.58658933639526,130.560302734375
69,*,261.847534179687,2.586585521698,177.402679443359
70,*,263.063934326172,2.62039971351624,271.508178710937
71,*,168.228881835938,2.62299752235413,322.3603515625
72,*,164.664184570313,2.58658790588379,353.413726806641
73,*,163.798141479492,2.58665728569031,422.001525878906
74,*,165.010162353516,2.61292934417725,482.657440185547
75,*,146.72380065918,2.7360668182373,553.974914550781
76,*,73.8435897827148,2.58658790588379,586.061157226563
77,*,20.190299987793,42.6853828430176,585.848510742188
78,*,-4.96979665756226,42.5783271789551,510.229339599609
79,*,-5.37172222137451,42.5783309936523,463.334381103516
80,*,-8.8196382522583,42.5783233642578,410.905792236328
81,*,-49.7984085083008,42.5783233642578,396.967742919922
82,*,-119.958068847656,42.6903305053711,371.088317871094
83,*,-194.960037231445,42.5783538818359,343.050750732422
84,*,-286.568328857422,42.61083984375,289.785919189453
85,*,-363.940582275391,42.5645141601563,243.576324462891
86,*,-393.166748046875,2.38985133171082,146.587265014648
87,end,-390.739929199219,2.47800922393799,69.5567321777344
-1,reset,-593.733825683594,207.660461425781,455.367065429688
